"District","County Number","County Name"," License Type Code"," License Number","Business (DBA-Does Business As) Name","Location Address","Location City"," Location Zip Code","Inspection Number","Visit Number","Inspection Class","Inspection Type","Inspection Disposition","Inspection Date","Number of Critical Violations","Number of Noncritical Violations"," Number of Total Violations","Number of High Priority Violations","Number of Intermediate Violations","Number of Basic Violations","PDA Status","Violation 01","Violation 02","Violation 03","Violation 04","Violation 05","Violation 06","Violation 07","Violation 08","Violation 09","Violation 10","Violation 11","Violation 12","Violation 13","Violation 14","Violation 15","Violation 16","Violation 17","Violation 18","Violation 19","Violation 20","Violation 21","Violation 22","Violation 23","Violation 24","Violation 25","Violation 26","Violation 27","Violation 28","Violation 29","Violation 30","Violation 31","Violation 32","Violation 33","Violation 34","Violation 35","Violation 36","Violation 37","Violation 38","Violation 39","Violation 40","Violation 41","Violation 42","Violation 43","Violation 44","Violation 45","Violation 46","Violation 47","Violation 48","Violation 49","Violation 50","Violation 51","Violation 52","Violation 53","Violation 54","Violation 55","Violation 56","Violation 57","Violation 58","License ID","Inspection Visit ID"
"D3","19","Citrus","2010","1900524","THAI PHOON RESTAURANT","238 SE US HWY 19","CRYSTAL RIVER","34429","3737657","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","3","0","1","2","Y","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8695263","13776150"
"D3","19","Citrus","2010","1900716","DAIRY QUEEN OF CRYSTAL RIVER","727 N SUNCOAST BLVD","CRYSTAL RIVER ","34429","3732716","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9495105","13771209"
"D3","19","Citrus","2010","1900959","CHECKERS RESTAURANT","510 W MAIN ST","INVERNESS","34450","3721563","1","Food","Routine - Food","Inspection Completed - No Further Action","07/27/2026","","","4","1","0","3","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5382473","13760056"
"D3","19","Citrus","2010","1900962","KELLY'S HALF SHELL PUB","390 N SUNCOAST BLVD","CRYSTAL RIVER","34429","3729090","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7022114","13767583"
"D3","19","Citrus","2010","1900991","AIELLOS PIZZERIA AND SUBS","859 US HWY 41 S","INVERNESS","34450","3696534","2","Food","Food-Licensing Inspection","Call Back - Admin. complaint recommended","07/08/2026","","","2","1","1","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","9942520","13688287"
"D3","19","Citrus","2010","1901004","CHIPOTLE MEXICAN GRILL (STORE #4423)","911 W MAIN ST","INVERNESS","34450","3724628","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8565061","13763121"
"D3","19","Citrus","2010","1901034","FLORIDA CRACKER BAR AND GRILL SHAMROCKS","8343 E ORANGE AVE","FLORAL CITY","34436","3678725","2","Food","Routine - Food","Call Back - Admin. complaint recommended","07/08/2026","","","1","0","1","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9667522","13688394"
"D3","19","Citrus","2010","1901134","APPLEBEE'S NEIGHBORHOOD GRILL & BAR","200 N SUNCOAST BLVD","CRYSTAL RIVER","34429","3755943","1","Food","Food-Licensing Inspection","Inspection Completed - No Further Action","07/20/2026","","","1","0","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10007019","13841749"
"D3","19","Citrus","2010","1901136","PAPA JOHN'S PIZZA #2827","2617 HWY 44 W","INVERNESS","34453","3746948","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","3","1","0","2","Y","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3422586","13785450"
"D3","19","Citrus","2010","1901176","MR KING","471 1 TERR NE","CRYSTAL RIVER","34429","3754215","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","4","1","1","2","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2431539","13792717"
"D3","19","Citrus","2010","1901185","DUNKIN BASKIN ROBBINS","2461 E GULF TO LAKE HWY","INVERNESS","34453","3760067","1","Food","Complaint Full","Inspection Completed - No Further Action","07/27/2026","","","4","0","1","3","Y","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","8180308","13855865"
"D3","19","Citrus","2010","1901189","SUSHI HOUSE","109 COURTHOUSE SQ","INVERNESS","34450","3678067","2","Food","Routine - Food","Call Back - Complied","07/27/2026","","","6","1","3","2","Y","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7110689","13692595"
"D3","19","Citrus","2010","1901205","AUGGIES CAFE","3158 W PINE RIDGE BLVD","BEVERLY HILLS","34465","3697531","2","Food","Food-Licensing Inspection","Call Back - Admin. complaint recommended","07/16/2026","","","3","2","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","9680319","13694169"
"D3","19","Citrus","2010","1901249","VINTAGE ON 5TH","114 NE 5 ST","CRYSTAL RIVER","34429","3691642","2","Food","Routine - Food","Call Back - Complied","07/01/2026","","","1","0","1","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7057693","13716970"
