License Number,Business (DBA-Does Business As) Name,Location Address,Location City,Location Zip Code,Inspection Number,Inspection Type,Inspection Disposition,Inspection Date,Number of Total Violations,Number of High Priority Violations,Number of Intermediate Violations,Number of Basic Violations,high_risk_violation_count,distinct_violation_categories,failed,Violation 01,Violation 02,Violation 03,Violation 04,Violation 05,Violation 06,Violation 07,Violation 08,Violation 09,Violation 10,Violation 11,Violation 12,Violation 13,Violation 14,Violation 15,Violation 16,Violation 17,Violation 18,Violation 19,Violation 20,Violation 21,Violation 22,Violation 23,Violation 24,Violation 25,Violation 26,Violation 27,Violation 28,Violation 29,Violation 30,Violation 31,Violation 32,Violation 33,Violation 34,Violation 35,Violation 36,Violation 37,Violation 38,Violation 39,Violation 40,Violation 41,Violation 42,Violation 43,Violation 44,Violation 45,Violation 46,Violation 47,Violation 48,Violation 49,Violation 50,Violation 51,Violation 52,Violation 53,Violation 54,Violation 55,Violation 56,Violation 57,Violation 58
6252595,BAYBORO BREWING COMPANY,2390 5 AVE S,ST. PETERSBURG,33712,1334664,Food-Licensing Inspection,Inspection Completed - No Further Action,2026-07-01,4,1,2,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6252954,CRISPY AVENUE CATERING,2040 CENTRAL AVE,ST. PETERSBURG,33712,1334087,Food-Licensing Inspection,Inspection Completed - No Further Action,2026-07-01,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217493,KAIA BOWLS MADEIRA BEACH,14995 GULF BLVD STE B2,MADEIRA BEACH,33708,3696424,Food-Licensing Inspection,Inspection Completed - No Further Action,2026-07-01,2,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218922,MARINA GRILLE,411 E SHORE DR,CLEARWATER BEACH,33767,3700225,Food-Licensing Inspection,Inspection Completed - No Further Action,2026-07-01,5,0,4,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218768,RITA'S ITALIAN ICE AND FROZEN CUSTARD,2141 66 ST N,ST. PETERSBURG,33710,3713139,Routine - Food,Warning Issued,2026-07-01,6,1,3,2,3,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6215669,BOSPHORUS GYROS AND KEBABS,312 W BAY DR,LARGO,33770,3755641,Complaint Full,Emergency order recommended,2026-07-01,5,1,2,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217825,MULLETS FISH CAMP AND MARKET,3901 6TH STREET S,ST. PETERSBURG,33705,3700830,Complaint Full,Inspection Completed - No Further Action,2026-07-01,4,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217230,CRAFT KAFE,6653 CENTRAL AVE,ST. PETERSBURG,33710,3738859,Routine - Food,Warning Issued,2026-07-01,9,5,2,2,7,6,1,1,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6211816,CENTRAL PIZZA & SUBS LLC 2891,6405 CENTRAL AVE,ST. PETERSBURG,33710,3700239,Complaint Full,Inspection Completed - No Further Action,2026-07-07,11,5,3,3,7,10,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6217918,POPPO'S TAQUERIA,1033 CENTRAL AVE,ST. PETERSBURG,33705,3712609,Routine - Food,Warning Issued,2026-07-07,5,1,1,3,3,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
